molecule_chembl_id,canonical_smiles,class,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL381735,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)NC(C)(C)CC)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,8.619788758288394,707.9350000000002,3.4912000000000045,5.0,8.0
CHEMBL207670,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,inactive,3.823908740944319,606.7860000000002,2.9124000000000025,3.0,7.0
CHEMBL383529,CC(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,6.585026652029183,489.6350000000002,1.206900000000003,3.0,7.0
CHEMBL207336,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)c1ccccc1,active,7.769551078621726,551.7060000000004,2.5008000000000017,3.0,7.0
CHEMBL208015,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1,active,8.214670164989233,581.7320000000004,2.997200000000002,3.0,8.0
CHEMBL208019,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)CNC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1,active,6.769551078621726,567.7050000000005,2.6087000000000025,3.0,8.0
CHEMBL207162,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,8.602059991327963,694.8920000000003,3.5281000000000047,4.0,9.0
CHEMBL206206,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1,active,8.537602002101043,597.7310000000002,1.9696000000000025,4.0,9.0
CHEMBL204992,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NS(=O)(=O)c1ccccc1,active,8.958607314841776,603.7600000000002,1.0217000000000036,4.0,9.0
CHEMBL207016,Cc1ccc(S(=O)(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C)cc1,active,8.67778070526608,601.788,2.3577200000000023,3.0,8.0
CHEMBL376815,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)C(c1ccccc1)c1ccccc1,active,8.173925197299173,641.8310000000004,4.0191000000000034,3.0,7.0
CHEMBL381884,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)C(=O)OC(C)(C)C)NC(=O)OCc1ccccc1,active,6.366531544420414,612.7460000000002,0.906800000000006,5.0,10.0
CHEMBL207394,CC(=O)N[C@@H](CCC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,inactive,4.6777807052660805,523.6520000000003,1.6086000000000014,3.0,7.0
CHEMBL207196,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.619788758288393,708.9190000000002,3.918200000000005,4.0,9.0
CHEMBL207669,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)OC1CCCCC1)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,8.0,720.9300000000003,4.062300000000005,4.0,9.0
CHEMBL383673,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)N[C@H](C(=O)OC(C)(C)C)C(C)(C)C)NC(=O)OCc1ccccc1,active,6.267606240177032,680.8650000000002,3.1380000000000052,4.0,9.0
CHEMBL207990,CC[C@H](C)[C@H](NC(=O)[C@H]([C@@H](C)CC)N(C)C(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1)[C@@H](C)O,active,8.431798275933005,554.7290000000004,1.1648000000000052,4.0,7.0
CHEMBL207579,CC(=O)N[C@@H](CCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,6.920818753952375,578.7760000000001,2.248700000000003,4.0,6.0
CHEMBL438442,CC(=O)N[C@@H](CCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,inactive,4.251811972993798,578.7760000000001,2.248700000000003,4.0,6.0
CHEMBL379669,CC(=O)N[C@@H](CCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.455931955649724,654.8740000000001,3.4715000000000034,4.0,6.0
CHEMBL207403,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.161150909262744,622.8290000000001,3.4523000000000037,4.0,7.0
CHEMBL207284,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,6.337242168318426,656.8460000000001,3.648900000000003,4.0,7.0
CHEMBL378901,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)NCC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.309803919971486,707.9350000000002,3.3487000000000045,5.0,8.0
CHEMBL446443,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.568636235841013,670.8730000000002,4.039000000000003,4.0,7.0
CHEMBL208159,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C/C=C/c1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.356547323513813,682.8840000000001,4.509700000000003,4.0,7.0
CHEMBL379772,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.309803919971486,686.8720000000002,3.623000000000003,4.0,8.0
CHEMBL206001,Cc1ccc(S(=O)(=O)N[C@@H](CC(=O)NCC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C)cc1,active,8.366531544420411,600.8040000000001,1.7882200000000026,4.0,7.0
CHEMBL204946,Cc1ccc(S(=O)(=O)N[C@@H](CC(=O)NCC(C)(C)C)C(=O)N[C@@H](CO)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C)cc1,active,8.229147988357855,616.8030000000001,0.7606200000000038,5.0,8.0
CHEMBL208372,Cc1ccc(S(=O)(=O)N[C@@H](CC(=O)NCC(C)(C)C)C(=O)NC(C)(C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C)cc1,inactive,4.5528419686577815,614.8310000000001,2.178320000000001,4.0,7.0
CHEMBL382180,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,6.2441251443275085,637.8000000000001,1.6717000000000042,5.0,8.0
CHEMBL437882,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,6.920818753952375,651.8270000000002,2.061800000000004,5.0,8.0
CHEMBL437115,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)NC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.2839966563652,679.8810000000002,2.711000000000004,5.0,8.0
CHEMBL438612,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)NC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,8.494850021680094,693.9080000000002,3.101100000000004,5.0,8.0
CHEMBL382203,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(=O)NCC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,8.823908740944319,693.9080000000002,2.958600000000004,5.0,8.0
CHEMBL379771,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](/C=C/S(C)(=O)=O)CC(C)C,active,7.107905397309519,680.8650000000002,3.1380000000000043,4.0,9.0
CHEMBL210901,CC(C)C[C@@H](/C=C/S(C)(=O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,active,7.214670164989233,551.7500000000003,3.947600000000002,3.0,6.0
CHEMBL215065,NC(=S)N/N=C/c1ccc2ccccc2n1,inactive,5.0,230.29600000000002,1.4019000000000001,2.0,3.0
CHEMBL592161,CC(C)C[C@H](NC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)c1cnccn1)B1OC2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,active,7.508638306165728,608.417,4.311600000000003,2.0,6.0
CHEMBL579296,CC(C)C[C@H](NC(=O)[C@H](Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC(=O)c1cnccn1)B1OC2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,active,8.522878745280337,654.4609999999998,5.653700000000005,2.0,6.0
CHEMBL578478,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,active,9.0,638.769,4.251900000000002,3.0,6.0
CHEMBL578885,CC(C)C[C@H](NC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,active,8.698970004336019,728.7189999999998,4.9474000000000045,3.0,6.0
CHEMBL591777,CC(C)C[C@H](NC(=O)[C@H](Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,active,7.0,774.7629999999997,6.289500000000006,3.0,6.0
CHEMBL577867,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,active,6.698970004336019,728.7189999999998,4.947400000000004,3.0,6.0
CHEMBL578486,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,active,6.886056647693162,774.7629999999998,6.289500000000005,3.0,6.0
CHEMBL578518,CC1=CC(C)=[N+]2C1=C(CCCCc1cn([C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3c(F)c(F)c(F)c(F)c3F)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]3(C)CO3)nn1)c1c(C)cc(C)n1[B-]2(F)F,active,6.522878745280337,1056.9339999999995,8.313340000000007,3.0,9.0
CHEMBL2103884,COC[C@H](NC(=O)c1cnc(C)s1)C(=O)N[C@@H](COC)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@@]1(C)CO1,active,8.0,532.6190000000003,0.4130200000000035,3.0,9.0
CHEMBL371405,C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCCl,active,8.455931955649724,313.78100000000006,1.1327999999999998,2.0,4.0
CHEMBL270515,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,active,8.455931955649724,413.2830000000001,0.7706999999999993,5.0,6.0
CHEMBL2141296,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,active,8.468521082957745,361.034,1.2660999999999993,4.0,4.0
CHEMBL325041,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,active,8.102372908709556,384.24500000000006,0.36059999999999964,4.0,6.0
CHEMBL2326261,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@H](/C=C/S(C)(=O)=O)Cc1ccc(CN)cc1,inactive,4.301029995663981,716.9089999999999,3.3696000000000037,5.0,8.0
CHEMBL2326260,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(N)cc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@H](/C=C/S(C)(=O)=O)Cc1ccc(CN)cc1,inactive,4.301029995663981,702.882,3.4931000000000036,5.0,8.0
